epoch,train_loss,val_iou,val_dice,val_accuracy,val_precision,val_recall,val_f1,learning_rate
1,0.331,0.4519,0.5953,0.479,0.4531,0.9954,0.5953,4e-05
2,0.2824,0.4728,0.6136,0.5286,0.4768,0.9798,0.6136,8e-05
3,0.2719,0.503,0.6404,0.5917,0.5111,0.9663,0.6404,0.00012
4,0.257,0.5448,0.6788,0.6723,0.5579,0.9515,0.6788,0.00016
5,0.2471,0.5382,0.6813,0.6933,0.591,0.8878,0.6813,0.0002
6,0.2376,0.6362,0.7619,0.7908,0.6663,0.9318,0.7619,0.0002
7,0.2249,0.655,0.7771,0.8125,0.6984,0.9136,0.7771,0.0002
8,0.2175,0.6711,0.7896,0.8294,0.7393,0.8822,0.7896,0.0002
9,0.2078,0.691,0.8054,0.8432,0.7659,0.8748,0.8054,0.000199
10,0.2012,0.6793,0.7911,0.8386,0.8192,0.796,0.7911,0.000199
11,0.194,0.7119,0.8188,0.8587,0.805,0.8559,0.8188,0.000198
12,0.1882,0.7175,0.8245,0.8591,0.7909,0.8836,0.8245,0.000197
13,0.1823,0.6983,0.8097,0.8512,0.781,0.867,0.8097,0.000196
14,0.1738,0.718,0.8224,0.8596,0.8258,0.8435,0.8224,0.000194
15,0.1651,0.733,0.835,0.8695,0.8008,0.8858,0.835,0.000193
16,0.1663,0.6901,0.8019,0.8358,0.7696,0.8714,0.8019,0.000191
17,0.1603,0.6965,0.8063,0.8414,0.7864,0.8559,0.8063,0.00019
18,0.1545,0.7248,0.8262,0.865,0.8346,0.8378,0.8262,0.000188
19,0.1503,0.689,0.7961,0.8399,0.795,0.8261,0.7961,0.000186
20,0.1443,0.7116,0.8162,0.8527,0.7872,0.8712,0.8162,0.000183
21,0.1423,0.7163,0.8199,0.8596,0.7989,0.8618,0.8199,0.000181
22,0.1369,0.7211,0.8226,0.8652,0.837,0.8316,0.8226,0.000179
23,0.1321,0.7214,0.8259,0.8605,0.8035,0.8714,0.8259,0.000176
24,0.1262,0.7305,0.8322,0.8687,0.7882,0.8967,0.8322,0.000173
25,0.1244,0.7345,0.8325,0.8723,0.8494,0.8361,0.8325,0.00017
26,0.1207,0.7405,0.8386,0.8758,0.848,0.8447,0.8386,0.000167
27,0.1182,0.7105,0.8168,0.8601,0.8435,0.8106,0.8168,0.000164
28,0.1153,0.7508,0.8469,0.8844,0.8301,0.8755,0.8469,0.000161
29,0.111,0.7181,0.8204,0.864,0.8601,0.8057,0.8204,0.000158
30,0.1079,0.733,0.8345,0.8716,0.8172,0.8675,0.8345,0.000154
31,0.1065,0.7063,0.8099,0.8561,0.8614,0.7917,0.8099,0.000151
32,0.1031,0.7054,0.8087,0.8559,0.8688,0.7847,0.8087,0.000147
33,0.0997,0.7124,0.8158,0.8605,0.8419,0.8169,0.8158,0.000143
34,0.0987,0.7219,0.8252,0.8652,0.8244,0.845,0.8252,0.000139
35,0.0945,0.7413,0.8389,0.8805,0.8666,0.8281,0.8389,0.000136
36,0.0926,0.7284,0.8293,0.8677,0.8446,0.8342,0.8293,0.000132
37,0.0929,0.7303,0.8309,0.8708,0.8446,0.8365,0.8309,0.000128
38,0.0912,0.725,0.8279,0.8683,0.8442,0.829,0.8279,0.000124
39,0.0881,0.681,0.7895,0.8415,0.8493,0.7742,0.7895,0.00012
40,0.0875,0.7161,0.8195,0.8659,0.8602,0.8027,0.8195,0.000115
41,0.0853,0.7197,0.8242,0.8653,0.8397,0.8287,0.8242,0.000111
42,0.0862,0.7124,0.8154,0.8592,0.8611,0.7961,0.8154,0.000107
43,0.0835,0.7163,0.8198,0.8606,0.8327,0.8308,0.8198,0.000103
44,0.0846,0.7144,0.8182,0.8613,0.8685,0.7952,0.8182,9.9e-05
45,0.0797,0.7056,0.8114,0.858,0.859,0.7922,0.8114,9.5e-05
46,0.0789,0.7246,0.8263,0.8706,0.8657,0.8084,0.8263,9.1e-05
47,0.0812,0.7182,0.8221,0.865,0.8502,0.8157,0.8221,8.7e-05
48,0.076,0.7074,0.8117,0.8564,0.8544,0.7994,0.8117,8.2e-05
49,0.0787,0.7306,0.8318,0.8708,0.8408,0.8395,0.8318,7.8e-05
50,0.0754,0.735,0.835,0.8738,0.8367,0.848,0.835,7.4e-05
51,0.0771,0.6985,0.8041,0.8485,0.8391,0.8007,0.8041,7e-05
52,0.0757,0.7073,0.8119,0.8567,0.8594,0.7932,0.8119,6.6e-05
53,0.075,0.7272,0.8285,0.8684,0.8351,0.8398,0.8285,6.3e-05
54,0.0707,0.7089,0.8142,0.8561,0.8375,0.8162,0.8142,5.9e-05
55,0.0729,0.7258,0.829,0.8685,0.8423,0.8322,0.829,5.5e-05
56,0.0703,0.7154,0.8208,0.8628,0.8534,0.8098,0.8208,5.1e-05
57,0.071,0.7056,0.8117,0.8555,0.8399,0.8112,0.8117,4.8e-05
58,0.0692,0.7115,0.8177,0.859,0.8394,0.8187,0.8177,4.4e-05
59,0.0689,0.7179,0.8214,0.8629,0.8573,0.8082,0.8214,4.1e-05
60,0.0692,0.7184,0.8225,0.8629,0.8452,0.8213,0.8225,3.8e-05
61,0.0675,0.715,0.8199,0.8605,0.8393,0.8235,0.8199,3.5e-05
62,0.067,0.6922,0.7981,0.8463,0.8536,0.7823,0.7981,3.2e-05
63,0.0663,0.7098,0.8146,0.8578,0.8536,0.8035,0.8146,2.9e-05
64,0.0671,0.714,0.8194,0.8587,0.8292,0.8326,0.8194,2.6e-05
65,0.0674,0.7214,0.8252,0.8633,0.826,0.8434,0.8252,2.3e-05
66,0.0671,0.7246,0.8271,0.8664,0.8377,0.8354,0.8271,2.1e-05
67,0.0664,0.7259,0.828,0.8675,0.8472,0.8277,0.828,1.9e-05
