epoch,train_loss,val_iou,val_dice,val_accuracy,val_precision,val_recall,val_f1,learning_rate
1,0.2521,0.6073,0.7324,0.7935,0.7384,0.7834,0.7324,0.0002
2,0.2062,0.6844,0.7962,0.8386,0.7796,0.8507,0.7962,0.0004
3,0.1928,0.6956,0.8058,0.848,0.7829,0.864,0.8058,0.0006
4,0.1802,0.6638,0.778,0.8379,0.8036,0.7961,0.778,0.0008
5,0.1691,0.6851,0.7945,0.8453,0.7929,0.8377,0.7945,0.001
6,0.1645,0.6422,0.7647,0.8039,0.6975,0.8901,0.7647,0.001
7,0.1499,0.7163,0.8201,0.8666,0.8118,0.8527,0.8201,0.001
8,0.1405,0.71,0.8145,0.8598,0.7885,0.8709,0.8145,0.000999
9,0.132,0.7215,0.8178,0.8819,0.8942,0.7821,0.8178,0.000998
10,0.1319,0.7451,0.8401,0.8873,0.8432,0.8523,0.8401,0.000996
11,0.1231,0.7318,0.8313,0.8748,0.813,0.8713,0.8313,0.000993
12,0.1225,0.7133,0.8195,0.8668,0.8039,0.8607,0.8195,0.00099
13,0.1192,0.709,0.8151,0.8617,0.8103,0.8445,0.8151,0.000987
14,0.1207,0.7463,0.8423,0.884,0.8274,0.8737,0.8423,0.000983
15,0.116,0.7422,0.8378,0.8784,0.81,0.8886,0.8378,0.000978
16,0.1113,0.7513,0.8434,0.8899,0.8627,0.8426,0.8434,0.000973
17,0.1141,0.7074,0.8128,0.86,0.8123,0.8466,0.8128,0.000968
18,0.1147,0.7081,0.816,0.859,0.8071,0.847,0.816,0.000962
19,0.1037,0.6865,0.7966,0.8318,0.7151,0.9374,0.7966,0.000955
20,0.1087,0.7256,0.8262,0.87,0.805,0.8766,0.8262,0.000948
21,0.0999,0.7213,0.8254,0.8672,0.8172,0.8548,0.8254,0.00094
22,0.1007,0.7278,0.8305,0.8659,0.7721,0.9152,0.8305,0.000932
23,0.0953,0.7184,0.8223,0.8669,0.8408,0.8279,0.8223,0.000924
24,0.0954,0.7173,0.822,0.8615,0.793,0.8783,0.822,0.000915
25,0.094,0.6822,0.7934,0.8451,0.8421,0.7771,0.7934,0.000905
26,0.0898,0.7561,0.8498,0.8908,0.8654,0.8467,0.8498,0.000896
27,0.0865,0.7711,0.8594,0.8964,0.8471,0.881,0.8594,0.000885
28,0.0828,0.7441,0.8424,0.8786,0.7986,0.9046,0.8424,0.000875
29,0.0858,0.7161,0.8235,0.8655,0.8509,0.8091,0.8235,0.000864
