Encoder,Optimizer,BS,LR,Epoch,Seed,Target_Param,Param_Value,Val_IoU,Val_Dice,IoU_Epoch,Dice_Epoch
efficientnet_b1,adam,4,0.001,100,42,optimizer,adam,0.7503,0.8457,9,9
efficientnet_b1,adamw,4,0.001,100,42,optimizer,adamw,0.742,0.8402,9,9
efficientnet_b1,sgd,4,0.001,100,42,optimizer,sgd,0.5249,0.6623,10,10
efficientnet_b1,adam,2,0.001,100,42,batch_size,2,0.7247,0.8236,7,7
efficientnet_b1,adam,4,0.001,100,42,batch_size,4,0.7445,0.841,8,8
efficientnet_b1,adam,8,0.001,100,42,batch_size,8,0.7268,0.8295,9,10
efficientnet_b1,adam,4,1e-05,100,42,lr,1e-05,0.4998,0.6407,10,10
efficientnet_b1,adam,4,3e-05,100,42,lr,3e-05,0.588,0.7154,9,9
efficientnet_b1,adam,4,5e-05,100,42,lr,5e-05,0.6302,0.7556,10,10
efficientnet_b1,adam,4,8e-05,100,42,lr,8e-05,0.7027,0.8116,9,9
efficientnet_b1,adam,4,0.0001,100,42,lr,0.0001,0.7258,0.8298,10,10
efficientnet_b1,adam,4,0.00015,100,42,lr,0.00015,0.732,0.8346,10,10
efficientnet_b1,adam,4,0.0002,100,42,lr,0.0002,0.7382,0.8371,10,10
efficientnet_b1,adam,4,0.0003,100,42,lr,0.0003,0.7245,0.8277,7,7
efficientnet_b1,adam,4,0.0005,100,42,lr,0.0005,0.7297,0.8314,9,9
efficientnet_b1,adam,4,0.0002,100,42,epochs,40,0.7514,0.8473,14,14
efficientnet_b1,adam,4,0.0002,100,42,epochs,60,0.7657,0.8559,18,18
efficientnet_b1,adam,4,0.0002,100,42,epochs,80,0.7689,0.8581,17,17
efficientnet_b1,adam,4,0.0002,100,42,epochs,100,0.7653,0.8557,25,25
efficientnet_b1,adam,4,0.0002,100,42,epochs,120,0.7543,0.8479,38,38
efficientnet_b1,adam,4,0.0002,100,42,epochs,150,0.7578,0.8501,26,26
