encoder,model,base_c,optimizer,batch_size,lr,loss_type,focal_alpha,focal_gamma,use_scheduler,scheduler_type,warmup_epochs,target_param,param_value,epoch,train_loss,val_iou,val_dice
resnet50,unet_resnet50,96,adamw,8,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,1,0.3266,0.4387,0.5817
resnet50,unet_resnet50,96,adamw,8,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,2,0.3096,0.4849,0.6264
resnet50,unet_resnet50,96,adamw,8,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,3,0.303,0.5152,0.6538
resnet50,unet_resnet50,96,adamw,8,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,4,0.291,0.5445,0.6804
resnet50,unet_resnet50,96,adamw,8,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,5,0.2658,0.6389,0.7625
resnet50,unet_resnet50,96,adamw,8,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,6,0.24,0.5693,0.703
resnet50,unet_resnet50,96,adamw,8,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,7,0.216,0.5761,0.7092
resnet50,unet_resnet50,96,adamw,8,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,8,0.199,0.6712,0.7881
resnet50,unet_resnet50,96,adamw,8,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,9,0.1921,0.6141,0.7424
resnet50,unet_resnet50,96,adamw,8,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,10,0.1865,0.6543,0.7745
resnet50,unet_resnet50,96,adamw,8,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,1,0.3098,0.478,0.6205
resnet50,unet_resnet50,96,adamw,8,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,2,0.2627,0.6116,0.7362
resnet50,unet_resnet50,96,adamw,8,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,3,0.2387,0.667,0.7821
resnet50,unet_resnet50,96,adamw,8,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,4,0.2061,0.6614,0.7778
resnet50,unet_resnet50,96,adamw,8,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,5,0.1788,0.6777,0.7936
resnet50,unet_resnet50,96,adamw,8,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,6,0.1635,0.6044,0.7357
resnet50,unet_resnet50,96,adamw,8,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,7,0.1463,0.7152,0.8176
resnet50,unet_resnet50,96,adamw,8,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,8,0.1402,0.7139,0.818
resnet50,unet_resnet50,96,adamw,8,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,9,0.1326,0.7075,0.813
resnet50,unet_resnet50,96,adamw,8,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,10,0.1326,0.7004,0.8079
resnet50,unet_resnet50,96,adamw,8,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,1,0.2959,0.4537,0.5957
resnet50,unet_resnet50,96,adamw,8,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,2,0.2357,0.4872,0.6293
resnet50,unet_resnet50,96,adamw,8,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,3,0.2108,0.6174,0.7457
resnet50,unet_resnet50,96,adamw,8,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,4,0.1925,0.6802,0.7932
resnet50,unet_resnet50,96,adamw,8,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,5,0.1721,0.7015,0.809
resnet50,unet_resnet50,96,adamw,8,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,6,0.1588,0.722,0.8246
resnet50,unet_resnet50,96,adamw,8,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,7,0.1503,0.71,0.8193
resnet50,unet_resnet50,96,adamw,8,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,8,0.1412,0.7082,0.8149
resnet50,unet_resnet50,96,adamw,8,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,9,0.1381,0.7163,0.8213
resnet50,unet_resnet50,96,adamw,8,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,10,0.1328,0.7322,0.8335
resnet50,unet_resnet50,96,adamw,8,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,1,0.2569,0.4597,0.6019
resnet50,unet_resnet50,96,adamw,8,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,2,0.1952,0.6159,0.7438
resnet50,unet_resnet50,96,adamw,8,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,3,0.1792,0.6721,0.7879
resnet50,unet_resnet50,96,adamw,8,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,4,0.1606,0.7081,0.8157
resnet50,unet_resnet50,96,adamw,8,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,5,0.149,0.7043,0.8123
resnet50,unet_resnet50,96,adamw,8,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,6,0.139,0.6432,0.7636
resnet50,unet_resnet50,96,adamw,8,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,7,0.1307,0.6922,0.8017
resnet50,unet_resnet50,96,adamw,8,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,8,0.1207,0.6993,0.8071
resnet50,unet_resnet50,96,adamw,8,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,9,0.1161,0.7049,0.8084
resnet50,unet_resnet50,96,adamw,8,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,10,0.113,0.717,0.8192
resnet50,unet_resnet50,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,1,0.2516,0.4441,0.5867
resnet50,unet_resnet50,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,2,0.1867,0.6651,0.7845
resnet50,unet_resnet50,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,3,0.174,0.722,0.8266
resnet50,unet_resnet50,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,4,0.1611,0.7345,0.836
resnet50,unet_resnet50,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,5,0.1465,0.7421,0.8401
resnet50,unet_resnet50,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,6,0.1377,0.7416,0.8407
resnet50,unet_resnet50,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,7,0.1263,0.7417,0.8394
resnet50,unet_resnet50,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,8,0.1214,0.733,0.8349
resnet50,unet_resnet50,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,9,0.1145,0.7508,0.8475
resnet50,unet_resnet50,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,10,0.1081,0.7645,0.8564
resnet50,unet_resnet50,96,adamw,8,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,1,0.2366,0.5057,0.6556
resnet50,unet_resnet50,96,adamw,8,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,2,0.175,0.6773,0.7954
resnet50,unet_resnet50,96,adamw,8,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,3,0.1655,0.726,0.8302
resnet50,unet_resnet50,96,adamw,8,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,4,0.1543,0.75,0.845
resnet50,unet_resnet50,96,adamw,8,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,5,0.1387,0.7099,0.8168
resnet50,unet_resnet50,96,adamw,8,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,6,0.1372,0.6914,0.8048
resnet50,unet_resnet50,96,adamw,8,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,7,0.1255,0.6728,0.7916
resnet50,unet_resnet50,96,adamw,8,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,8,0.1157,0.7262,0.8286
resnet50,unet_resnet50,96,adamw,8,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,9,0.1078,0.7718,0.8606
resnet50,unet_resnet50,96,adamw,8,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,10,0.1053,0.7625,0.8546
resnet50,unet_resnet50,96,adamw,8,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,1,0.2337,0.4621,0.6042
resnet50,unet_resnet50,96,adamw,8,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,2,0.1728,0.6913,0.8042
resnet50,unet_resnet50,96,adamw,8,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,3,0.1588,0.7181,0.8219
resnet50,unet_resnet50,96,adamw,8,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,4,0.1504,0.7478,0.8456
resnet50,unet_resnet50,96,adamw,8,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,5,0.1345,0.5758,0.6985
resnet50,unet_resnet50,96,adamw,8,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,6,0.1307,0.6812,0.7946
resnet50,unet_resnet50,96,adamw,8,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,7,0.1157,0.7415,0.8374
resnet50,unet_resnet50,96,adamw,8,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,8,0.1088,0.7324,0.8344
resnet50,unet_resnet50,96,adamw,8,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,9,0.1003,0.7594,0.8524
resnet50,unet_resnet50,96,adamw,8,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,10,0.0949,0.7615,0.8532
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,1,0.2185,0.4861,0.6323
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,2,0.1611,0.7282,0.8234
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,3,0.1515,0.7178,0.8241
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,4,0.1426,0.7036,0.81
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,5,0.1379,0.5375,0.6815
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,6,0.1303,0.729,0.8339
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,7,0.1114,0.6816,0.7908
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,8,0.1034,0.7028,0.8142
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,9,0.0983,0.7536,0.8504
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,10,0.0927,0.767,0.8584
resnet50,unet_resnet50,96,adamw,8,0.0005,focal_dice,0.25,2.0,True,cosine,5,lr,0.0005,1,0.209,0.6123,0.7468
resnet50,unet_resnet50,96,adamw,8,0.0005,focal_dice,0.25,2.0,True,cosine,5,lr,0.0005,2,0.1594,0.6392,0.7616
