encoder,model,base_c,optimizer,batch_size,lr,loss_type,focal_alpha,focal_gamma,use_scheduler,scheduler_type,warmup_epochs,target_param,param_value,epoch,train_loss,val_iou,val_dice
resnet50,unet_resnet50,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,1,0.2089,0.4585,0.5831
resnet50,unet_resnet50,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,2,0.1709,0.6675,0.7762
resnet50,unet_resnet50,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,3,0.1667,0.6274,0.7478
resnet50,unet_resnet50,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,4,0.1648,0.6685,0.7816
resnet50,unet_resnet50,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,5,0.1514,0.5964,0.7202
resnet50,unet_resnet50,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,6,0.1478,0.6726,0.7887
resnet50,unet_resnet50,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,7,0.1386,0.6078,0.7363
resnet50,unet_resnet50,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,8,0.1296,0.6846,0.7906
resnet50,unet_resnet50,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,9,0.1115,0.7199,0.8243
resnet50,unet_resnet50,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,10,0.1029,0.7142,0.8195
resnet50,unet_resnet50,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,1,0.2131,0.4452,0.5946
resnet50,unet_resnet50,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,2,0.165,0.6678,0.7782
resnet50,unet_resnet50,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,3,0.1602,0.6885,0.7959
resnet50,unet_resnet50,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,4,0.157,0.6911,0.8007
resnet50,unet_resnet50,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,5,0.156,0.619,0.7403
resnet50,unet_resnet50,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,6,0.1668,0.6458,0.7609
resnet50,unet_resnet50,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,7,0.1482,0.6287,0.7468
resnet50,unet_resnet50,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,8,0.144,0.6728,0.7863
resnet50,unet_resnet50,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,9,0.1195,0.7172,0.8184
resnet50,unet_resnet50,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,10,0.1036,0.7146,0.819
resnet50,unet_resnet50,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,1,0.3093,0.5174,0.6523
resnet50,unet_resnet50,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,2,0.2744,0.5257,0.6589
resnet50,unet_resnet50,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,3,0.2645,0.5416,0.6728
resnet50,unet_resnet50,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,4,0.2481,0.5647,0.6921
resnet50,unet_resnet50,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,5,0.2364,0.5674,0.6945
resnet50,unet_resnet50,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,6,0.229,0.5847,0.7094
resnet50,unet_resnet50,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,7,0.2177,0.586,0.7093
resnet50,unet_resnet50,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,8,0.2126,0.5889,0.7122
resnet50,unet_resnet50,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,9,0.2095,0.5827,0.7068
resnet50,unet_resnet50,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,10,0.207,0.586,0.7093
