epoch,train_loss,val_iou,val_dice,val_accuracy,val_precision,val_recall,val_f1,learning_rate
1,0.2019,0.4984,0.6532,0.642,0.5405,0.9079,0.6532,0.0001
2,0.1539,0.7097,0.815,0.8611,0.7899,0.8663,0.815,0.0002
3,0.1408,0.7458,0.8432,0.8785,0.7979,0.9095,0.8432,0.0003
4,0.1269,0.7196,0.8196,0.8646,0.8595,0.8136,0.8196,0.0004
5,0.1241,0.7091,0.8092,0.8745,0.8935,0.7651,0.8092,0.0005
6,0.1313,0.4384,0.5741,0.7271,0.8367,0.4825,0.5741,0.0005
7,0.1222,0.6343,0.7566,0.7808,0.6589,0.9386,0.7566,0.000499
8,0.1098,0.6836,0.7883,0.8655,0.8982,0.7413,0.7883,0.000496
9,0.1022,0.6713,0.7875,0.8185,0.7179,0.9102,0.7875,0.000491
10,0.1054,0.6882,0.8023,0.8321,0.7172,0.9363,0.8023,0.000484
11,0.0975,0.7067,0.808,0.8761,0.8639,0.7933,0.808,0.000475
12,0.0946,0.6588,0.7725,0.8417,0.8232,0.7655,0.7725,0.000465
13,0.0956,0.6516,0.7625,0.836,0.8678,0.7195,0.7625,0.000453
14,0.0886,0.752,0.843,0.8872,0.8409,0.8642,0.843,0.000439
15,0.0821,0.7403,0.8377,0.8744,0.8244,0.8755,0.8377,0.000424
16,0.0799,0.7092,0.8109,0.8668,0.906,0.7605,0.8109,0.000407
17,0.0796,0.6846,0.8024,0.8302,0.7491,0.8903,0.8024,0.000389
18,0.0714,0.755,0.847,0.8911,0.8593,0.8517,0.847,0.00037
19,0.0703,0.7131,0.8122,0.8529,0.8744,0.7929,0.8122,0.00035
20,0.0636,0.7553,0.85,0.8838,0.8161,0.8979,0.85,0.000329
21,0.0642,0.7342,0.8346,0.8675,0.8599,0.8296,0.8346,0.000308
22,0.061,0.6845,0.7879,0.8506,0.9114,0.7283,0.7879,0.000286
23,0.0593,0.7476,0.8389,0.8811,0.843,0.8566,0.8389,0.000264
24,0.0598,0.7386,0.8375,0.8742,0.803,0.892,0.8375,0.000241
25,0.0577,0.7545,0.8482,0.8868,0.8299,0.8821,0.8482,0.000219
26,0.0563,0.7413,0.8353,0.8775,0.8611,0.8366,0.8353,0.000197
27,0.0537,0.7115,0.8153,0.8545,0.8496,0.8134,0.8153,0.000176
28,0.0498,0.7469,0.8384,0.8845,0.8804,0.8258,0.8384,0.000155
29,0.0469,0.7342,0.832,0.8703,0.8504,0.8391,0.832,0.000135
30,0.0459,0.7418,0.837,0.8782,0.8585,0.8401,0.837,0.000116
31,0.0458,0.7107,0.8124,0.8561,0.8782,0.7855,0.8124,9.8e-05
32,0.0442,0.7271,0.8257,0.8668,0.8602,0.8204,0.8257,8.1e-05
33,0.0423,0.7354,0.8312,0.8726,0.8695,0.822,0.8312,6.6e-05
34,0.0409,0.7333,0.8301,0.871,0.8617,0.8265,0.8301,5.2e-05
35,0.0406,0.7347,0.8323,0.8725,0.8417,0.8477,0.8323,4e-05
36,0.0384,0.7261,0.8236,0.8667,0.8648,0.8135,0.8236,3e-05
37,0.0389,0.7264,0.8242,0.8671,0.859,0.8191,0.8242,2.1e-05
38,0.0368,0.7198,0.8195,0.8626,0.8629,0.8074,0.8195,1.4e-05
39,0.0374,0.7257,0.8234,0.867,0.8675,0.81,0.8234,9e-06
40,0.0365,0.7239,0.8225,0.8656,0.8645,0.8114,0.8225,6e-06
