epoch,train_loss,val_iou,val_dice,val_accuracy,val_precision,val_recall,val_f1,learning_rate
1,0.202,0.6171,0.7477,0.7728,0.6749,0.8929,0.7477,0.0002
2,0.164,0.6112,0.7413,0.7674,0.6597,0.9024,0.7413,0.0004
3,0.1535,0.6479,0.7594,0.8554,0.903,0.6936,0.7594,0.0006
4,0.147,0.6791,0.7897,0.8467,0.7766,0.8337,0.7897,0.0008
5,0.1501,0.6845,0.8,0.8299,0.7238,0.9226,0.8,0.001
6,0.1387,0.6788,0.7835,0.8428,0.7601,0.8459,0.7835,0.001
7,0.1336,0.6955,0.7979,0.8643,0.8163,0.8195,0.7979,0.001
8,0.1387,0.68,0.7941,0.83,0.7248,0.9124,0.7941,0.000999
9,0.1137,0.6402,0.7584,0.8225,0.784,0.7837,0.7584,0.000998
10,0.1024,0.7342,0.8339,0.8738,0.8034,0.8851,0.8339,0.000996
11,0.1053,0.7127,0.8177,0.8633,0.8031,0.8581,0.8177,0.000993
12,0.1106,0.6977,0.8011,0.8517,0.769,0.8732,0.8011,0.00099
13,0.1004,0.7286,0.8314,0.8697,0.8173,0.8682,0.8314,0.000987
14,0.1042,0.6922,0.7943,0.8612,0.8169,0.8111,0.7943,0.000983
15,0.092,0.7091,0.8089,0.877,0.8885,0.7798,0.8089,0.000978
16,0.0885,0.6539,0.763,0.8551,0.892,0.7132,0.763,0.000973
17,0.0876,0.7062,0.8154,0.859,0.7891,0.8663,0.8154,0.000968
18,0.0772,0.7246,0.8241,0.8715,0.8449,0.8302,0.8241,0.000962
19,0.0704,0.6922,0.795,0.862,0.8817,0.7574,0.795,0.000955
20,0.0678,0.7258,0.8268,0.8705,0.8058,0.8624,0.8268,0.000948
21,0.0617,0.7236,0.8259,0.8697,0.809,0.8568,0.8259,0.00094
22,0.0639,0.6526,0.767,0.8304,0.8356,0.7458,0.767,0.000932
23,0.065,0.719,0.8246,0.8598,0.7779,0.8942,0.8246,0.000924
24,0.0584,0.7185,0.8197,0.8666,0.8364,0.8264,0.8197,0.000915
25,0.0562,0.7102,0.815,0.8671,0.817,0.8277,0.815,0.000905
26,0.0552,0.7198,0.8217,0.8702,0.8375,0.8307,0.8217,0.000896
27,0.0515,0.7252,0.8258,0.8749,0.8625,0.814,0.8258,0.000885
28,0.0491,0.7401,0.8363,0.8817,0.8494,0.8444,0.8363,0.000875
29,0.0501,0.7365,0.8334,0.8831,0.8354,0.8495,0.8334,0.000864
30,0.0467,0.7358,0.8351,0.8775,0.8094,0.8752,0.8351,0.000852
31,0.0446,0.7403,0.8376,0.881,0.8331,0.8573,0.8376,0.00084
32,0.0416,0.7454,0.8419,0.8825,0.8242,0.8738,0.8419,0.000828
33,0.0396,0.7465,0.8428,0.8827,0.8263,0.8729,0.8428,0.000815
34,0.0387,0.7412,0.8373,0.8823,0.8433,0.8483,0.8373,0.000803
35,0.0398,0.735,0.8305,0.8798,0.8517,0.8323,0.8305,0.000789
36,0.0381,0.7301,0.8303,0.8733,0.8172,0.8647,0.8303,0.000776
37,0.0365,0.7234,0.826,0.8711,0.8354,0.837,0.826,0.000762
38,0.0345,0.736,0.8356,0.8752,0.8094,0.8802,0.8356,0.000748
39,0.0332,0.7043,0.8078,0.8627,0.8581,0.7905,0.8078,0.000733
40,0.0323,0.7335,0.8344,0.8722,0.8179,0.8691,0.8344,0.000719
41,0.0305,0.739,0.8383,0.8774,0.8298,0.8616,0.8383,0.000704
42,0.0289,0.7431,0.8403,0.8816,0.8288,0.8676,0.8403,0.000689
43,0.0283,0.7317,0.831,0.8759,0.8465,0.837,0.831,0.000673
44,0.0277,0.7358,0.8353,0.8768,0.8365,0.8506,0.8353,0.000658
45,0.0271,0.7426,0.8397,0.8813,0.8433,0.8519,0.8397,0.000642
46,0.0266,0.7454,0.8406,0.8825,0.838,0.8611,0.8406,0.000627
47,0.025,0.7354,0.8331,0.8749,0.8232,0.865,0.8331,0.000611
48,0.0244,0.7283,0.8258,0.872,0.8416,0.8373,0.8258,0.000595
49,0.0236,0.7295,0.8267,0.8738,0.8524,0.8285,0.8267,0.000578
50,0.0229,0.7353,0.8327,0.8776,0.8454,0.8431,0.8327,0.000562
51,0.0221,0.7368,0.8347,0.8777,0.8408,0.8469,0.8347,0.000546
52,0.0215,0.7357,0.8354,0.8745,0.8271,0.8599,0.8354,0.00053
53,0.021,0.7327,0.832,0.8744,0.8487,0.8359,0.832,0.000513
54,0.0204,0.7367,0.8341,0.8771,0.8446,0.8434,0.8341,0.000497
55,0.0196,0.7379,0.8353,0.8779,0.8448,0.8459,0.8353,0.00048
56,0.0194,0.7358,0.8337,0.8753,0.8426,0.8454,0.8337,0.000464
57,0.0191,0.7397,0.8362,0.8799,0.8489,0.8423,0.8362,0.000448
58,0.0186,0.7401,0.8371,0.878,0.8378,0.8549,0.8371,0.000432
59,0.0181,0.7456,0.8419,0.8832,0.8356,0.8628,0.8419,0.000415
60,0.0182,0.7408,0.838,0.8795,0.8378,0.8546,0.838,0.000399
61,0.0176,0.743,0.8393,0.8808,0.8357,0.8607,0.8393,0.000383
62,0.0168,0.748,0.8429,0.885,0.8494,0.8523,0.8429,0.000368
63,0.0166,0.7357,0.8352,0.8754,0.8233,0.864,0.8352,0.000352
64,0.0163,0.7404,0.837,0.8791,0.8447,0.8482,0.837,0.000337
65,0.0161,0.7446,0.8399,0.8838,0.8402,0.8557,0.8399,0.000321
66,0.0154,0.7443,0.8398,0.8827,0.8352,0.8616,0.8398,0.000306
67,0.0152,0.7383,0.8347,0.879,0.8408,0.849,0.8347,0.000291
68,0.0148,0.7489,0.8431,0.8861,0.8468,0.8548,0.8431,0.000277
69,0.0144,0.7435,0.8394,0.882,0.8367,0.8585,0.8394,0.000262
70,0.0143,0.7244,0.8213,0.8703,0.8555,0.8188,0.8213,0.000248
71,0.014,0.734,0.8305,0.8766,0.8523,0.8321,0.8305,0.000234
72,0.014,0.7318,0.8299,0.8748,0.8456,0.8372,0.8299,0.000221
73,0.0137,0.7372,0.8338,0.8788,0.8406,0.8471,0.8338,0.000207
74,0.0133,0.7418,0.8382,0.8815,0.8433,0.8501,0.8382,0.000195
75,0.013,0.7378,0.8351,0.8788,0.8402,0.8482,0.8351,0.000182
76,0.0127,0.7372,0.8351,0.878,0.8271,0.8601,0.8351,0.00017
77,0.0126,0.7424,0.8388,0.8812,0.8373,0.8569,0.8388,0.000158
78,0.0121,0.7364,0.8338,0.8778,0.8381,0.8488,0.8338,0.000146
79,0.0122,0.7368,0.8339,0.878,0.8369,0.8497,0.8339,0.000135
80,0.0121,0.7399,0.8371,0.8793,0.8318,0.8584,0.8371,0.000125
81,0.0119,0.737,0.8349,0.8772,0.8277,0.8598,0.8349,0.000114
82,0.0118,0.7373,0.8343,0.8785,0.8333,0.8532,0.8343,0.000105
83,0.0118,0.7412,0.8372,0.8801,0.835,0.8572,0.8372,9.5e-05
84,0.0116,0.7409,0.8373,0.8807,0.833,0.8587,0.8373,8.6e-05
85,0.0115,0.7381,0.8353,0.8785,0.8319,0.8567,0.8353,7.8e-05
86,0.0115,0.7382,0.8347,0.879,0.8324,0.8558,0.8347,7e-05
87,0.0111,0.7377,0.8351,0.878,0.8368,0.8513,0.8351,6.2e-05
88,0.0111,0.7346,0.8325,0.8761,0.8387,0.8452,0.8325,5.5e-05
89,0.0109,0.7385,0.8354,0.8789,0.8346,0.8542,0.8354,4.8e-05
90,0.0109,0.7379,0.8351,0.8785,0.8361,0.8521,0.8351,4.2e-05
91,0.0109,0.7385,0.836,0.8788,0.8281,0.8608,0.836,3.7e-05
92,0.0107,0.7408,0.8374,0.8805,0.8339,0.8576,0.8374,3.2e-05
93,0.0108,0.7369,0.8329,0.8786,0.8509,0.837,0.8329,2.7e-05
94,0.0107,0.7407,0.8377,0.8805,0.8245,0.8671,0.8377,2.3e-05
95,0.0107,0.7403,0.8371,0.8806,0.8328,0.859,0.8371,2e-05
96,0.0105,0.7405,0.8373,0.8807,0.8328,0.8585,0.8373,1.7e-05
97,0.0109,0.7427,0.8393,0.8814,0.8343,0.8604,0.8393,1.4e-05
98,0.0106,0.7411,0.8378,0.8804,0.8327,0.8592,0.8378,1.2e-05
99,0.0105,0.7409,0.8373,0.8811,0.8367,0.8554,0.8373,1.1e-05
100,0.0105,0.7407,0.8376,0.88,0.8329,0.8589,0.8376,1e-05
